Name of Restaurant,City,Country Code,Day Of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
21 shanghai house new york 4,New York,US,3,11,0,21,30
,,,,,,,
21 shanghai house new york 4,New York,US,4,11,0,22,0
,,,,,,,
21 shanghai house new york 4,New York,US,5,11,0,22,0
,,,,,,,
21 shanghai house new york 4,New York,US,6,11,0,21,30
,,,,,,,
24grille detroit,Detroit,US,0,11,0,0,0
,,,,,,,
24grille detroit,Detroit,US,1,11,0,0,0
,,,,,,,
24grille detroit,Detroit,US,2,11,0,0,0
,,,,,,,
24grille detroit,Detroit,US,3,11,0,0,0
,,,,,,,
24grille detroit,Detroit,US,4,11,0,2,0
,,,,,,,
24grille detroit,Detroit,US,5,11,0,2,0
,,,,,,,
24grille detroit,Detroit,US,6,11,0,22,0
,,,,,,,
259 cafe perth,Perth,AU,0,10,0,15,0
,,,,,,,
259 cafe perth,Perth,AU,2,10,0,15,0
,,,,,,,
259 cafe perth,Perth,AU,3,10,0,15,0
,,,,,,,
259 cafe perth,Perth,AU,4,10,0,15,0
,,,,,,,
259 cafe perth,Perth,AU,5,9,0,15,0
,,,,,,,
259 cafe perth,Perth,AU,6,9,0,15,0
,,,,,,,
26 grains london,London,GB,0,8,0,18,0
,,,,,,,
26 grains london,London,GB,1,8,0,18,0
,,,,,,,
26 grains london,London,GB,2,8,0,18,0
,,,,,,,
26 grains london,London,GB,3,8,0,18,0
,,,,,,,
26 grains london,London,GB,4,8,0,17,0
,,,,,,,
26 grains london,London,GB,5,10,0,16,0
,,,,,,,
26 grains london,London,GB,6,10,0,16,0
,,,,,,,
2nd city new york,New York,US,0,11,0,23,0
,,,,,,,
2nd city new york,New York,US,1,11,0,23,0
,,,,,,,
2nd city new york,New York,US,2,11,0,23,0
,,,,,,,
2nd city new york,New York,US,3,11,0,23,0
,,,,,,,
2nd city new york,New York,US,4,11,0,23,0
,,,,,,,
2nd city new york,New York,US,5,11,0,23,0
,,,,,,,
2nd city new york,New York,US,6,11,0,23,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,0,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,1,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,2,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,3,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,4,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,5,10,0,20,0
,,,,,,,
3 arts club cafe chicago 2,Chicago,US,6,11,0,18,0
,,,,,,,
3 bros kabab house houston,Houston,US,0,11,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,1,11,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,2,11,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,3,11,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,4,14,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,5,11,0,22,0
,,,,,,,
3 bros kabab house houston,Houston,US,6,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,0,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,1,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,2,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,3,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,4,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,5,11,0,22,0
,,,,,,,
3 greeks grill long island city 2,Long Island City,US,6,11,0,21,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,0,10,0,4,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,1,10,0,4,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,2,10,0,4,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,3,10,0,4,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,4,10,0,5,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,5,10,0,5,0
,,,,,,,
3 wise monkeys pub sydney,Sydney,AU,6,10,0,4,0
,,,,,,,
32 shea phoenix,Phoenix,US,0,6,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,1,6,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,2,6,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,3,6,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,4,6,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,5,7,0,22,0
,,,,,,,
32 shea phoenix,Phoenix,US,6,7,0,14,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,0,12,0,14,30
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,0,16,30,23,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,1,12,0,14,30
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,1,16,30,23,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,2,12,0,14,30
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,2,16,30,23,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,3,12,0,14,30
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,3,16,30,23,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,4,12,0,14,30
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,4,16,30,0,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,5,16,30,0,0
,,,,,,,
360 bar and restaurant sydney,Sydney,AU,6,16,30,0,0
,,,,,,,
38 espresso kingston,Kingston,AU,0,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,1,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,2,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,3,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,4,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,5,7,0,15,0
,,,,,,,
38 espresso kingston,Kingston,AU,6,8,0,15,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,0,12,0,15,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,0,17,0,21,30
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,1,12,0,15,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,1,17,0,21,30
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,2,12,0,15,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,2,17,0,21,30
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,3,12,0,15,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,3,17,0,21,30
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,4,12,0,22,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,5,12,0,22,0
,,,,,,,
39 pizzeria melbourne 2,Melbourne,AU,6,12,0,21,30
,,,,,,,
3rd cousin san francisco 2,San Francisco,US,1,17,30,22,0
,,,,,,,
3rd cousin san francisco 2,San Francisco,US,2,17,30,22,0
,,,,,,,
3rd cousin san francisco 2,San Francisco,US,3,17,30,22,0
,,,,,,,
3rd cousin san francisco 2,San Francisco,US,4,17,30,22,0
,,,,,,,
3rd cousin san francisco 2,San Francisco,US,5,17,30,22,0
,,,,,,,
45 jermyn st london,London,GB,0,7,0,23,30
